query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
113,4316542bd62faf96c9ddc2570dcaa47aea78ef76afb99f56e6531818e9ca6aa2,stop,-0.0,0.05284679398287062,0.9471532060171294,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
114,257d58c855532aca2ac019b25c2cb7f3fc001aa2892caadbbf5586dcee02c4ea,pausa,0.9709505944546686,0.21159921677890256,0.7884007832210974,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
115,94dfa339be0b8c69bd55cd2d9e34b4c394fd6b88e583a7ebb29dca5160a298ba,pausa,1.3709505944546687,1.1102230246251565e-16,0.9999999999999998,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
116,5b385dbd4face4399e31322df5641e7e62a4b12795fdea1b163eb44e2129ca7d,pausa,1.3709505944546687,0.01705222522129002,0.9829477747787101,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
117,a7172dbe97ae9fca83c490d043bde1ebe789d5f3f5f2867e1d9090dbe32bcc83,pausa,1.3709505944546687,0.10212595443945105,0.897874045560549,1,1,3,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
118,83de58e4b79fa9d6807e9afc2ddcd5c9e1bc6fd2695a122a8a3040041e92b06a,pausa,1.5219280948873621,0.10222987932274094,0.897770120677259,1,2,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
119,e126e26c714bfaf7663096006dcb8e513dfaa39806c468464af77cd431db7c3f,pausa,1.3709505944546687,0.0,1.0,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
120,2dc84e02ae71cac1a327a65fcecb414016b3ffd03e3c419c2d664aef608cd81c,pausa,1.5219280948873621,0.3319362113945955,0.6680637886054045,2,2,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
121,92f773c386ee72241452256bf463fc1abbbb207514bfdae8e3fe0cbc5a3de900,pausa,0.9709505944546686,0.16520828748365796,0.834791712516342,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
122,1f0f4db9013f1eb6829aecba28dccba467e0057cf06dc8326dd29cd80af6b266,play,1.3709505944546687,0.3067375805257691,0.693262419474231,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
123,c2e817d6f3c970b051b58b5747247166e5be85c66d0a145c6547e2006755ed97,pausa,1.5219280948873621,1.0,0.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
124,aab65ec304751fdaf81faf289716c5b6fb98a600af8a97ad6b087a47a9b83a13,pausa,0.9709505944546686,0.0,1.0,3,0,2,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
125,5e27ea3824b4919896f5798742f07466b32826be9f153a960d43d00d0d7437c2,pausa,0.7219280948873623,0.0,1.0,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
126,16f2160e72c9ebb3e8b89072fd90185e8a9aa06bdaa0e97073d3ff2b493bf0ec,pausa,0.9709505944546686,0.12772924703537716,0.8722707529646229,0,2,3,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
127,b2d957f5eb92fb0773403a0efb4394b19269d8b1d0e79abbb7bcc0e335a2923c,pausa,0.7219280948873623,0.0,1.0,4,0,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
128,9cc5035ad60603f6c3f30e49c7864410b78fb6bac15f0446d98554841950f20c,pausa,0.7219280948873623,0.1127622914055981,0.887237708594402,4,0,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
129,1f464cfedc6c0995dc47aab142139a846c9c4d3424199cc208ff91cbae53e119,pausa,0.9709505944546686,0.25842660113669735,0.7415733988633026,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
